school_year,lea_number,lea_name
2014,320,Durham Public Schools
2014,32A,Maureen Joy Charter
2014,32B,Healthy Start Academy
2014,32C,Carter Community Charter
2014,32D,Kestrel Heights School
2014,32H,Research Triangle Charter
2014,32K,Central Park School For Children
2014,32L,Voyager Academy
2014,32M,Global Scholars Academy
2014,32N,Research Triangle High School
2014,32P,The Institute for the Development of You
